Save: 1, Episode: 1/10000, Best Score: 41.08424840288942, Play_time: 453, Spawn distance: 84.8528137423857
Save: 2, Episode: 2/10000, Best Score: 13969.597563378033, Play_time: 365, Spawn distance: 84.8528137423857
Save: 3, Episode: 601/10000, Best Score: 28064.186535456152, Play_time: 453, Spawn distance: 84.8528137423857
Save: 4, Episode: 603/10000, Best Score: 34881.79839023177, Play_time: 453, Spawn distance: 84.8528137423857
Save: 5, Episode: 604/10000, Best Score: 46799.133643158355, Play_time: 453, Spawn distance: 84.8528137423857
Save: 6, Episode: 701/10000, Best Score: 86802.76519568816, Play_time: 453, Spawn distance: 84.8528137423857
Save: 1, Episode: 701/10000, Best Score: 84804.6158876023, Play_time: 453, Spawn distance: 84.8528137423857
Save: 1, Episode: 701/10000, Best Score: 68815.51579869779, Play_time: 453, Spawn distance: 141.4213562373095
Save: 1, Episode: 701/10000, Best Score: 4.93334883034881, Play_time: 77, Spawn distance: 141.4213562373095
Save: 2, Episode: 702/10000, Best Score: 5.810121215039397, Play_time: 111, Spawn distance: 141.4213562373095
Save: 3, Episode: 703/10000, Best Score: 8.4450663262468, Play_time: 179, Spawn distance: 141.4213562373095
Save: 4, Episode: 704/10000, Best Score: 2054.289075404991, Play_time: 213, Spawn distance: 141.4213562373095
Save: 5, Episode: 705/10000, Best Score: 2984.7347979454653, Play_time: 178, Spawn distance: 141.4213562373095
Save: 6, Episode: 706/10000, Best Score: 3232.671764838709, Play_time: 141, Spawn distance: 141.4213562373095
Save: 7, Episode: 707/10000, Best Score: 3408.6267028322013, Play_time: 122, Spawn distance: 141.4213562373095
Save: 8, Episode: 708/10000, Best Score: 3858.543409883498, Play_time: 103, Spawn distance: 141.4213562373095
Save: 9, Episode: 720/10000, Best Score: 3966.507236794006, Play_time: 199, Spawn distance: 141.4213562373095
Save: 10, Episode: 721/10000, Best Score: 4208.580557034937, Play_time: 211, Spawn distance: 141.4213562373095
Save: 11, Episode: 724/10000, Best Score: 4209.759751841408, Play_time: 361, Spawn distance: 141.4213562373095
Save: 12, Episode: 773/10000, Best Score: 4733.948743988556, Play_time: 453, Spawn distance: 141.4213562373095
Save: 13, Episode: 775/10000, Best Score: 5045.250210463823, Play_time: 452, Spawn distance: 141.4213562373095
Save: 14, Episode: 776/10000, Best Score: 5045.3747758243635, Play_time: 453, Spawn distance: 141.4213562373095
Save: 15, Episode: 785/10000, Best Score: 5385.647882992373, Play_time: 295, Spawn distance: 141.4213562373095
Save: 16, Episode: 786/10000, Best Score: 5814.800189032067, Play_time: 201, Spawn distance: 141.4213562373095
Save: 17, Episode: 787/10000, Best Score: 5918.610194625849, Play_time: 99, Spawn distance: 141.4213562373095
Save: 18, Episode: 788/10000, Best Score: 5975.09340918286, Play_time: 93, Spawn distance: 141.4213562373095
Save: 19, Episode: 789/10000, Best Score: 5991.435535883444, Play_time: 104, Spawn distance: 141.4213562373095
Save: 20, Episode: 790/10000, Best Score: 6014.235996573925, Play_time: 144, Spawn distance: 141.4213562373095
Save: 21, Episode: 791/10000, Best Score: 6076.752596661046, Play_time: 103, Spawn distance: 141.4213562373095
Save: 22, Episode: 792/10000, Best Score: 6314.648020588073, Play_time: 148, Spawn distance: 141.4213562373095
Save: 23, Episode: 793/10000, Best Score: 6467.532781183617, Play_time: 136, Spawn distance: 141.4213562373095
Save: 24, Episode: 836/10000, Best Score: 6973.416518096335, Play_time: 271, Spawn distance: 141.4213562373095
Save: 25, Episode: 837/10000, Best Score: 8811.485369003849, Play_time: 453, Spawn distance: 141.4213562373095
Save: 26, Episode: 901/10000, Best Score: 27918.120074787177, Play_time: 453, Spawn distance: 141.4213562373095
Save: 27, Episode: 1001/10000, Best Score: 30958.627617206435, Play_time: 217, Spawn distance: 141.4213562373095
Save: 28, Episode: 1003/10000, Best Score: 42761.025788814164, Play_time: 453, Spawn distance: 141.4213562373095
Save: 29, Episode: 1005/10000, Best Score: 46318.12658573901, Play_time: 453, Spawn distance: 141.4213562373095
Save: 30, Episode: 1046/10000, Best Score: 46519.88399239893, Play_time: 453, Spawn distance: 141.4213562373095
Save: 31, Episode: 1047/10000, Best Score: 47283.392623794476, Play_time: 453, Spawn distance: 141.4213562373095
Save: 32, Episode: 1048/10000, Best Score: 47994.27188328595, Play_time: 453, Spawn distance: 141.4213562373095
Save: 33, Episode: 1049/10000, Best Score: 48627.217021972196, Play_time: 453, Spawn distance: 141.4213562373095
Save: 34, Episode: 1050/10000, Best Score: 49214.8522727685, Play_time: 453, Spawn distance: 141.4213562373095
Save: 35, Episode: 1051/10000, Best Score: 50113.174819270986, Play_time: 453, Spawn distance: 141.4213562373095
Save: 36, Episode: 1052/10000, Best Score: 51087.86342593494, Play_time: 453, Spawn distance: 141.4213562373095
Save: 37, Episode: 1053/10000, Best Score: 51394.5449084721, Play_time: 453, Spawn distance: 141.4213562373095
Save: 38, Episode: 1054/10000, Best Score: 52433.14911848863, Play_time: 453, Spawn distance: 141.4213562373095
Save: 39, Episode: 1055/10000, Best Score: 52523.65271937169, Play_time: 453, Spawn distance: 141.4213562373095
Save: 40, Episode: 1056/10000, Best Score: 53998.10645699309, Play_time: 453, Spawn distance: 141.4213562373095
Save: 41, Episode: 1057/10000, Best Score: 55416.268113841936, Play_time: 453, Spawn distance: 141.4213562373095
Save: 42, Episode: 1058/10000, Best Score: 56754.5053094598, Play_time: 453, Spawn distance: 141.4213562373095
Save: 43, Episode: 1059/10000, Best Score: 58039.732970312005, Play_time: 453, Spawn distance: 141.4213562373095
Save: 44, Episode: 1060/10000, Best Score: 58874.006684300664, Play_time: 453, Spawn distance: 141.4213562373095
Save: 45, Episode: 1061/10000, Best Score: 59184.61069301869, Play_time: 453, Spawn distance: 141.4213562373095
Save: 46, Episode: 1062/10000, Best Score: 59619.49235696529, Play_time: 453, Spawn distance: 141.4213562373095
Save: 47, Episode: 1063/10000, Best Score: 59888.59461039471, Play_time: 453, Spawn distance: 141.4213562373095
Save: 48, Episode: 1064/10000, Best Score: 59998.08616945965, Play_time: 453, Spawn distance: 141.4213562373095
Save: 49, Episode: 1065/10000, Best Score: 61573.25350691472, Play_time: 453, Spawn distance: 141.4213562373095
Save: 50, Episode: 1066/10000, Best Score: 63218.837149866, Play_time: 453, Spawn distance: 141.4213562373095
Save: 51, Episode: 1067/10000, Best Score: 64145.08890997767, Play_time: 453, Spawn distance: 141.4213562373095
Save: 52, Episode: 1068/10000, Best Score: 64409.66540577049, Play_time: 453, Spawn distance: 141.4213562373095
Save: 53, Episode: 1069/10000, Best Score: 65907.3148470751, Play_time: 453, Spawn distance: 141.4213562373095
Save: 54, Episode: 1070/10000, Best Score: 66979.20909533574, Play_time: 453, Spawn distance: 141.4213562373095
Save: 55, Episode: 1071/10000, Best Score: 68383.00152205052, Play_time: 453, Spawn distance: 141.4213562373095
Save: 56, Episode: 1072/10000, Best Score: 68622.56557218988, Play_time: 453, Spawn distance: 141.4213562373095
Save: 57, Episode: 1073/10000, Best Score: 68930.07722748522, Play_time: 453, Spawn distance: 141.4213562373095
Save: 58, Episode: 1074/10000, Best Score: 70315.63986615483, Play_time: 453, Spawn distance: 141.4213562373095
Save: 59, Episode: 1075/10000, Best Score: 71548.73056737371, Play_time: 453, Spawn distance: 141.4213562373095
Save: 60, Episode: 1076/10000, Best Score: 73007.93430199046, Play_time: 453, Spawn distance: 141.4213562373095
Save: 61, Episode: 1089/10000, Best Score: 73236.16498151263, Play_time: 453, Spawn distance: 141.4213562373095
Save: 62, Episode: 1090/10000, Best Score: 74435.88312617065, Play_time: 453, Spawn distance: 141.4213562373095
Save: 63, Episode: 1091/10000, Best Score: 75388.57217028494, Play_time: 453, Spawn distance: 141.4213562373095
Save: 64, Episode: 1092/10000, Best Score: 75638.69070955171, Play_time: 453, Spawn distance: 141.4213562373095
Save: 65, Episode: 1093/10000, Best Score: 75788.8925096102, Play_time: 453, Spawn distance: 141.4213562373095
Save: 66, Episode: 1094/10000, Best Score: 76069.92136622747, Play_time: 453, Spawn distance: 141.4213562373095
Save: 67, Episode: 1095/10000, Best Score: 76315.33312851928, Play_time: 453, Spawn distance: 141.4213562373095
Save: 68, Episode: 1096/10000, Best Score: 76339.58568904037, Play_time: 453, Spawn distance: 141.4213562373095
Save: 69, Episode: 1097/10000, Best Score: 76347.57587797023, Play_time: 453, Spawn distance: 141.4213562373095
Save: 70, Episode: 1098/10000, Best Score: 76379.54639376585, Play_time: 453, Spawn distance: 141.4213562373095
Save: 71, Episode: 1099/10000, Best Score: 76423.48813673174, Play_time: 453, Spawn distance: 141.4213562373095
Save: 72, Episode: 1100/10000, Best Score: 76523.39224613589, Play_time: 453, Spawn distance: 141.4213562373095
Save: 73, Episode: 1101/10000, Best Score: 78920.01602538045, Play_time: 453, Spawn distance: 141.4213562373095
Save: 74, Episode: 1102/10000, Best Score: 80351.65907890738, Play_time: 453, Spawn distance: 141.4213562373095
Save: 75, Episode: 1184/10000, Best Score: 80645.24195236545, Play_time: 453, Spawn distance: 141.4213562373095
Save: 76, Episode: 1185/10000, Best Score: 80748.50459241489, Play_time: 453, Spawn distance: 141.4213562373095
Save: 77, Episode: 1199/10000, Best Score: 80763.16053340337, Play_time: 453, Spawn distance: 141.4213562373095
Save: 78, Episode: 1201/10000, Best Score: 82604.50916028355, Play_time: 453, Spawn distance: 141.4213562373095
Save: 79, Episode: 1202/10000, Best Score: 82604.51188176335, Play_time: 453, Spawn distance: 141.4213562373095
Save: 80, Episode: 1601/10000, Best Score: 83004.22963105944, Play_time: 453, Spawn distance: 141.4213562373095
Save: 81, Episode: 1602/10000, Best Score: 83204.01403216753, Play_time: 453, Spawn distance: 141.4213562373095
Save: 82, Episode: 1801/10000, Best Score: 83403.85135246883, Play_time: 453, Spawn distance: 141.4213562373095
